start_time,end_time,server_ip,client_ip,client_port,bytes_received
1733270740.096245,1733270812.423166,10.0.0.15,10.0.0.8,42954,3563520
1733270741.37465,1733270806.494605,10.0.0.16,10.0.0.10,60656,391168
1733270740.8126247,1733270798.1227572,10.0.0.16,10.0.0.12,57374,20605952
1733270741.8357558,1733270798.997199,10.0.0.16,10.0.0.13,35010,827392
1733270741.2904458,1733270815.4097383,10.0.0.16,10.0.0.14,54090,756736
1733270740.3762882,1733270799.131612,10.0.0.16,10.0.0.17,54652,1254400
1733270741.596531,1733270806.7335196,10.0.0.16,10.0.0.18,34584,365568
1733270741.2625413,1733270798.6886566,10.0.0.16,10.0.0.20,45956,17199104
1733270741.6555843,1733270797.2815228,10.0.0.16,10.0.0.20,50906,13852672
1733270741.2143695,1733270807.2053256,10.0.0.16,10.0.0.3,59838,577536
1733270741.2339404,1733270807.5313206,10.0.0.16,10.0.0.3,59846,584704
1733270739.4200475,1733270793.5052652,10.0.0.16,10.0.0.4,52104,18962432
1733270739.6968799,1733270799.3204722,10.0.0.16,10.0.0.4,52116,1949696
1733270740.9023383,1733270806.0426202,10.0.0.16,10.0.0.7,55954,680960
1733270741.0351074,1733270808.6151638,10.0.0.16,10.0.0.7,55966,1006592
1733270739.4171438,1733270799.2317772,10.0.0.16,10.0.0.8,54506,2223104
1733270739.4838192,1733270799.3265405,10.0.0.16,10.0.0.8,54516,2272256
1733270739.4900684,1733270797.4776742,10.0.0.16,10.0.0.8,54518,19372032
1733270741.0234158,1733270818.3182957,10.0.0.17,10.0.0.14,46408,1004544
1733270740.476611,1733270807.4966807,10.0.0.17,10.0.0.15,48150,1057792
1733270741.2990599,1733270797.4430628,10.0.0.17,10.0.0.16,36320,1804288
1733270741.544559,1733270797.0222697,10.0.0.17,10.0.0.16,43108,1697792
1733270741.123645,1733270802.219693,10.0.0.17,10.0.0.19,45800,714752
1733270741.54882,1733270795.8076181,10.0.0.17,10.0.0.20,39078,1748992
1733270741.5547814,1733270836.9386272,10.0.0.17,10.0.0.2,33630,1359872
1733270741.4054885,1733270835.566945,10.0.0.17,10.0.0.2,51222,1266688
1733270741.2146459,1733270793.6020494,10.0.0.17,10.0.0.5,49178,69667840
1733270741.0473847,1733270803.1763692,10.0.0.18,10.0.0.11,51300,21694464
1733270742.099442,1733270809.048733,10.0.0.18,10.0.0.16,50494,538624
1733270743.034972,1733270808.608434,10.0.0.18,10.0.0.16,57160,509952
1733270741.8565419,1733270805.707314,10.0.0.18,10.0.0.19,58888,3472384
1733270740.6079235,1733270795.515831,10.0.0.18,10.0.0.2,34298,18397184
1733270739.2991982,1733270795.7976046,10.0.0.18,10.0.0.2,55136,23435264
1733270740.7669387,1733270803.3541977,10.0.0.18,10.0.0.3,38554,1225728
1733270745.2665422,1733270806.7477684,10.0.0.18,10.0.0.5,42558,572416
1733270741.7401857,1733270796.6703165,10.0.0.18,10.0.0.7,57740,1215488
1733270741.7227457,1733270805.3739345,10.0.0.18,10.0.0.8,57504,548864
1733270742.0217557,1733270798.8151598,10.0.0.19,10.0.0.11,38310,12442624
1733270744.0224586,1733270807.486988,10.0.0.19,10.0.0.12,41516,523264
1733270744.0341103,1733270806.3759427,10.0.0.19,10.0.0.12,41526,478208
1733270740.553564,1733270805.7998824,10.0.0.19,10.0.0.13,58816,565248
1733270740.6011734,1733270805.5046434,10.0.0.19,10.0.0.13,58822,546816
1733270739.4707794,1733270796.7387524,10.0.0.19,10.0.0.15,39074,17278976
1733270744.4262347,1733270804.821734,10.0.0.19,10.0.0.16,54720,385024
1733270741.834647,1733270801.0703256,10.0.0.19,10.0.0.18,47052,570368
1733270740.2214644,1733270806.0776422,10.0.0.19,10.0.0.20,37918,521216
1733270740.2918894,1733270807.9666944,10.0.0.19,10.0.0.20,37934,565248
1733270740.8111234,1733270807.5249834,10.0.0.19,10.0.0.20,57232,496640
1733270740.4420276,1733270807.7381887,10.0.0.19,10.0.0.20,57246,552960
1733270739.9795241,1733270796.2893724,10.0.0.19,10.0.0.3,40444,14541824
1733270740.3023927,1733270796.9642656,10.0.0.19,10.0.0.3,40446,15576064
1733270739.300131,1733270797.390114,10.0.0.19,10.0.0.3,57418,18938880
1733270741.584408,1733270803.9060135,10.0.0.19,10.0.0.5,57838,421888
1733270741.6309173,1733270805.7742357,10.0.0.19,10.0.0.6,48988,829440
1733270740.943947,1733270797.1038203,10.0.0.19,10.0.0.7,54888,15752192
1733270741.0880044,1733270843.8086426,10.0.0.1,10.0.0.10,48096,21264384
1733270740.9257705,1733270805.4380105,10.0.0.1,10.0.0.11,47698,674816
1733270740.7650409,1733270795.8238232,10.0.0.1,10.0.0.12,55150,5560320
1733270740.1911554,1733270796.064988,10.0.0.1,10.0.0.13,50412,51476480
1733270740.6141894,1733270796.731731,10.0.0.1,10.0.0.15,59494,1277952
1733270741.4032066,1733270805.2340698,10.0.0.1,10.0.0.15,59496,1349632
1733270740.8666818,1733270797.6873155,10.0.0.1,10.0.0.16,55972,1939456
1733270740.646459,1733270795.451114,10.0.0.1,10.0.0.20,57242,2270208
1733270745.2095842,1733270818.5061073,10.0.0.1,10.0.0.2,36246,833536
1733270742.4487116,1733270815.763807,10.0.0.1,10.0.0.2,36248,680960
1733270742.4489222,1733270815.4103732,10.0.0.1,10.0.0.2,41024,755712
1733270740.5785432,1733270818.4363208,10.0.0.1,10.0.0.6,46554,1601536
1733270741.5099783,1733270803.8587828,10.0.0.20,10.0.0.10,39412,3263488
1733270744.444066,1733270796.7418063,10.0.0.20,10.0.0.13,46164,2309120
1733270741.2402465,1733270803.224746,10.0.0.20,10.0.0.14,35630,14443520
1733270741.8806028,1733270818.6948524,10.0.0.20,10.0.0.18,41048,1400832
1733270741.0864296,1733270818.6643164,10.0.0.20,10.0.0.18,53084,1369088
1733270740.5554605,1733270808.3272104,10.0.0.20,10.0.0.19,34100,1201152
1733270741.5727425,1733270796.804007,10.0.0.20,10.0.0.1,40562,2092032
1733270741.7224438,1733270796.802443,10.0.0.20,10.0.0.1,40576,2099200
1733270740.272661,1733270796.3343074,10.0.0.20,10.0.0.1,45934,5625856
1733270742.3433275,1733270836.0278828,10.0.0.20,10.0.0.2,50966,1158144
1733270740.890574,1733270808.1134114,10.0.0.20,10.0.0.3,43300,942080
1733270740.9723268,1733270806.74052,10.0.0.20,10.0.0.3,43304,792576
1733270740.8023589,1733270797.1752546,10.0.0.20,10.0.0.6,41738,31398912
1733270741.7088602,1733270822.5108745,10.0.0.2,10.0.0.13,58312,2867200
1733270741.5021996,1733270819.807802,10.0.0.2,10.0.0.13,58328,2748416
1733270741.974656,1733270799.9313767,10.0.0.2,10.0.0.14,48274,28369920
1733270741.2215526,1733270807.4873724,10.0.0.2,10.0.0.17,40094,569344
1733270739.5434368,1733270793.8766174,10.0.0.2,10.0.0.18,50806,34370560
1733270740.4019754,1733270802.3060498,10.0.0.2,10.0.0.3,41054,1155072
1733270740.4194307,1733270803.6287384,10.0.0.2,10.0.0.3,41064,1203200
1733270740.7804177,1733270803.5861723,10.0.0.2,10.0.0.3,60478,1221632
1733270741.1067998,1733270822.9156249,10.0.0.2,10.0.0.4,59142,1555456
1733270742.4800143,1733270822.356963,10.0.0.2,10.0.0.5,48682,988160
1733270742.202176,1733270822.619677,10.0.0.2,10.0.0.8,52880,1256448
1733270740.6237414,1733270798.2622988,10.0.0.3,10.0.0.11,56350,19801088
1733270741.108184,1733270803.5111685,10.0.0.3,10.0.0.13,36278,535552
1733270740.4487653,1733270806.0566745,10.0.0.3,10.0.0.14,37416,1012736
1733270741.28271,1733270806.3507328,10.0.0.3,10.0.0.18,44332,2191360
1733270740.8025143,1733270806.1285343,10.0.0.3,10.0.0.18,48194,2134016
1733270741.0374713,1733270806.1805537,10.0.0.3,10.0.0.18,48202,2076672
1733270739.4747548,1733270794.1542172,10.0.0.3,10.0.0.19,38052,56713216
1733270740.4708111,1733270805.7256985,10.0.0.3,10.0.0.2,35086,924672
1733270740.5326893,1733270806.0658174,10.0.0.3,10.0.0.2,35102,966656
1733270740.725915,1733270803.1916952,10.0.0.3,10.0.0.2,59262,816128
1733270743.7403414,1733270802.4173017,10.0.0.3,10.0.0.4,51870,1243136
1733270746.0938988,1733270808.5059354,10.0.0.3,10.0.0.8,50728,1596416
1733270739.2396932,1733270792.7471614,10.0.0.4,10.0.0.16,35070,31532032
1733270743.0938032,1733270802.5775297,10.0.0.4,10.0.0.19,53062,1069056
1733270741.2825851,1733270796.2729754,10.0.0.4,10.0.0.1,55428,1882112
1733270739.707234,1733270791.5329022,10.0.0.4,10.0.0.20,55460,46429184
1733270741.015019,1733270806.3035393,10.0.0.4,10.0.0.2,52184,526336
1733270742.5067623,1733270833.8395305,10.0.0.5,10.0.0.10,56818,879616
1733270740.8973463,1733270796.666633,10.0.0.5,10.0.0.13,39968,14040064
1733270740.4845912,1733270797.0663483,10.0.0.5,10.0.0.13,57042,15060992
1733270741.05057,1733270806.050988,10.0.0.5,10.0.0.14,36968,983040
1733270741.0082026,1733270796.4961557,10.0.0.5,10.0.0.17,37008,16889856
1733270740.4480476,1733270796.9604204,10.0.0.5,10.0.0.17,48166,17724416
1733270740.4865897,1733270796.6062343,10.0.0.5,10.0.0.17,48180,17169408
1733270744.8038273,1733270802.2184057,10.0.0.5,10.0.0.18,46438,737280
1733270745.272531,1733270805.1673212,10.0.0.5,10.0.0.3,59804,403456
1733270740.8564832,1733270806.569399,10.0.0.5,10.0.0.7,38772,943104
1733270742.172106,1733270797.2537172,10.0.0.5,10.0.0.9,58708,11162624
1733270739.5870554,1733270796.5663753,10.0.0.6,10.0.0.10,57404,19449856
1733270742.3298442,1733270803.222558,10.0.0.6,10.0.0.11,40012,526336
1733270740.1494334,1733270798.2429628,10.0.0.6,10.0.0.14,59790,11570176
1733270740.7081835,1733270799.4285123,10.0.0.6,10.0.0.14,59794,11121664
1733270739.5463119,1733270799.2102253,10.0.0.6,10.0.0.14,60658,13023232
1733270739.6444309,1733270799.3191833,10.0.0.6,10.0.0.14,60670,12020736
1733270742.508268,1733270824.7381904,10.0.0.6,10.0.0.16,50656,713728
1733270742.7629762,1733270822.9155843,10.0.0.6,10.0.0.16,52310,627712
1733270741.283628,1733270803.5379891,10.0.0.6,10.0.0.19,58764,663552
1733270740.785268,1733270821.1971776,10.0.0.6,10.0.0.1,41362,679936
1733270740.4495466,1733270801.3653128,10.0.0.6,10.0.0.20,34262,8294400
1733270739.5605536,1733270797.3522263,10.0.0.6,10.0.0.2,49230,9568256
1733270742.156992,1733270802.2032888,10.0.0.6,10.0.0.3,38464,13620224
1733270742.638151,1733270798.7314646,10.0.0.6,10.0.0.5,40020,919552
1733270741.6103082,1733270798.269791,10.0.0.7,10.0.0.11,43368,21256192
1733270741.288838,1733270797.676974,10.0.0.7,10.0.0.11,50382,21120000
1733270741.5789666,1733270808.031566,10.0.0.7,10.0.0.12,55156,886784
1733270741.8187919,1733270808.922159,10.0.0.7,10.0.0.12,55168,1030144
1733270741.4193,1733270810.2805095,10.0.0.7,10.0.0.12,58216,1234944
1733270741.072223,1733270808.2356124,10.0.0.7,10.0.0.16,34794,975872
1733270740.6319447,1733270810.0645995,10.0.0.7,10.0.0.16,34810,1114112
1733270746.6412983,1733270808.3747065,10.0.0.7,10.0.0.17,57364,1128448
1733270741.2335145,1733270802.6008415,10.0.0.7,10.0.0.6,59632,1515520
1733270741.4493895,1733270797.617409,10.0.0.8,10.0.0.12,46474,35542016
1733270740.0664399,1733270805.5642128,10.0.0.8,10.0.0.15,43734,1006592
1733270740.0660071,1733270803.5445373,10.0.0.8,10.0.0.15,43744,940032
1733270740.0669105,1733270806.4611962,10.0.0.8,10.0.0.15,43756,1036288
1733270740.0663037,1733270805.35114,10.0.0.8,10.0.0.15,43762,963584
1733270740.0676014,1733270805.814649,10.0.0.8,10.0.0.15,43772,995328
1733270740.5985703,1733270803.5119877,10.0.0.8,10.0.0.15,53068,749568
1733270739.2371914,1733270796.7692685,10.0.0.8,10.0.0.16,53664,18929664
1733270739.2394593,1733270797.8747656,10.0.0.8,10.0.0.16,53668,1528832
1733270740.0094872,1733270798.0251665,10.0.0.8,10.0.0.16,54736,1630208
1733270741.6930346,1733270807.7771366,10.0.0.8,10.0.0.18,41508,508928
